name,imageUrl,url,marketPrice,extNumber
Foxy (059),https://tcgplayer-cdn.tcgplayer.com/product/545849_200w.jpg,https://cpt.tcgcsv.com/_ln6,0.11,OP07-059,
Foxy (059) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545850_200w.jpg,https://cpt.tcgcsv.com/0mn6,20.4,OP07-059,
Itomimizu,https://tcgplayer-cdn.tcgplayer.com/product/545851_200w.jpg,https://cpt.tcgcsv.com/2mn6,0.09,OP07-060,1000
Vinsmoke Sanji,https://tcgplayer-cdn.tcgplayer.com/product/545852_200w.jpg,https://cpt.tcgcsv.com/3mn6,0.06,OP07-061,1000
Vinsmoke Reiju,https://tcgplayer-cdn.tcgplayer.com/product/545853_200w.jpg,https://cpt.tcgcsv.com/5mn6,0.07,OP07-062,1000
Capote,https://tcgplayer-cdn.tcgplayer.com/product/545854_200w.jpg,https://cpt.tcgcsv.com/6mn6,0.05,OP07-063,1000
Sanji,https://tcgplayer-cdn.tcgplayer.com/product/545855_200w.jpg,https://cpt.tcgcsv.com/7mn6,8.54,OP07-064,2000
Sanji (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545856_200w.jpg,https://cpt.tcgcsv.com/8mn6,47.13,OP07-064,2000
Gina,https://tcgplayer-cdn.tcgplayer.com/product/545857_200w.jpg,https://cpt.tcgcsv.com/9mn6,0.26,OP07-065,2000
Tony Tony.Chopper (066),https://tcgplayer-cdn.tcgplayer.com/product/545858_200w.jpg,https://cpt.tcgcsv.com/bmn6,0.44,OP07-066,1000
Tonjit,https://tcgplayer-cdn.tcgplayer.com/product/545859_200w.jpg,https://cpt.tcgcsv.com/cmn6,0.03,OP07-067,1000
Hamburg,https://tcgplayer-cdn.tcgplayer.com/product/545860_200w.jpg,https://cpt.tcgcsv.com/dmn6,0.06,OP07-068,1000
Pickles,https://tcgplayer-cdn.tcgplayer.com/product/545861_200w.jpg,https://cpt.tcgcsv.com/fmn6,0.07,OP07-069,1000
Big Bun,https://tcgplayer-cdn.tcgplayer.com/product/545862_200w.jpg,https://cpt.tcgcsv.com/gmn6,0.09,OP07-070,1000
Foxy (071),https://tcgplayer-cdn.tcgplayer.com/product/545863_200w.jpg,https://cpt.tcgcsv.com/hmn6,0.14,OP07-071,
Foxy (071) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545864_200w.jpg,https://cpt.tcgcsv.com/jmn6,6.13,OP07-071,
